**** 14 ****
250
91;82;2;1;
79;88;1;2;
7;14;1;2;
74;85;2;1;
17;14;1;2;
18;14;1;2;
94;16;2;1;
16;77;2;1;
16;96;1;2;
16;97;1;2;
19;15;1;2;
19;80;2;1;
77;17;1;2;
81;15;1;2;
16;17;2;1;
89;15;1;2;
95;96;2;1;
14;17;2;1;
14;21;2;1;
87;13;2;1;
18;81;2;1;
13;96;1;2;
16;15;1;2;
85;21;2;1;
95;84;2;1;
18;13;1;2;
85;12;1;2;
18;15;1;2;
12;81;1;2;
86;88;1;2;
84;21;1;2;
15;90;2;1;
16;18;2;1;
18;21;1;2;
82;16;1;2;
14;11;2;1;
13;18;2;1;
14;16;2;1;
79;14;2;1;
82;19;2;1;
85;13;1;2;
78;76;2;1;
9;16;1;2;
17;93;1;2;
83;13;2;1;
15;11;2;1;
9;80;1;2;
13;92;1;2;
76;13;2;1;
17;18;2;1;
85;91;2;1;
92;70;1;2;
9;15;2;1;
87;93;1;2;
16;17;2;1;
79;15;2;1;
12;96;1;2;
18;86;2;1;
18;94;2;1;
78;83;1;2;
19;81;1;2;
18;16;2;1;
82;15;1;2;
13;93;2;1;
91;80;1;2;
10;11;1;2;
86;85;1;2;
94;87;2;1;
17;84;1;2;
16;95;2;1;
14;70;1;2;
75;17;1;2;
89;77;1;2;
20;17;2;1;
76;16;1;2;
86;86;2;1;
14;89;1;2;
87;82;1;2;
85;84;2;1;
18;87;2;1;
90;89;1;2;
15;13;2;1;
17;77;2;1;
88;93;2;1;
17;16;2;1;
15;16;2;1;
82;15;1;2;
16;13;2;1;
20;16;1;2;
18;11;2;1;
85;11;1;2;
13;14;1;2;
10;81;2;1;
18;12;1;2;
85;12;2;1;
10;17;2;1;
10;81;1;2;
89;85;1;2;
87;19;1;2;
14;93;1;2;
16;89;2;1;
85;79;1;2;
13;17;1;2;
19;86;1;2;
94;14;2;1;
88;86;1;2;
16;16;2;1;
16;89;1;2;
18;15;2;1;
12;94;2;1;
75;92;2;1;
14;16;2;1;
16;17;1;2;
88;16;2;1;
20;16;1;2;
97;83;2;1;
82;79;1;2;
13;83;2;1;
14;15;1;2;
89;17;1;2;
84;13;1;2;
15;91;1;2;
80;96;2;1;
21;12;2;1;
17;71;1;2;
15;88;1;2;
20;20;1;2;
85;15;2;1;
89;84;1;2;
95;81;1;2;
83;95;2;1;
19;85;1;2;
15;11;2;1;
13;20;1;2;
81;13;1;2;
18;14;1;2;
83;19;1;2;
20;18;2;1;
85;84;1;2;
17;76;2;1;
96;84;1;2;
88;89;1;2;
13;12;1;2;
80;85;1;2;
89;16;2;1;
19;71;2;1;
83;77;2;1;
95;16;2;1;
11;13;1;2;
12;91;1;2;
72;84;2;1;
85;75;1;2;
71;11;1;2;
16;86;1;2;
91;13;1;2;
98;82;2;1;
80;80;2;1;
80;79;1;2;
15;93;1;2;
16;83;2;1;
68;91;2;1;
15;94;2;1;
17;75;2;1;
87;88;1;2;
13;81;2;1;
99;12;2;1;
86;85;1;2;
82;10;1;2;
97;76;2;1;
88;81;2;1;
88;14;2;1;
14;85;2;1;
15;78;2;1;
91;85;1;2;
15;16;1;2;
97;90;1;2;
97;76;2;1;
82;16;2;1;
11;92;2;1;
86;9;2;1;
87;9;2;1;
95;12;1;2;
14;75;2;1;
82;15;1;2;
15;19;2;1;
14;89;2;1;
14;14;2;1;
14;86;1;2;
85;95;1;2;
18;19;2;1;
89;17;2;1;
17;83;2;1;
17;15;1;2;
16;81;2;1;
73;76;2;1;
92;19;1;2;
21;84;1;2;
17;14;2;1;
14;12;1;2;
11;15;2;1;
21;13;1;2;
84;22;2;1;
12;92;2;1;
87;91;2;1;
11;104;2;1;
12;82;2;1;
14;90;2;1;
91;90;1;2;
83;94;1;2;
83;14;1;2;
10;87;2;1;
87;86;1;2;
77;13;2;1;
16;96;2;1;
14;86;1;2;
18;96;1;2;
79;76;1;2;
79;81;2;1;
19;84;1;2;
93;13;1;2;
82;75;1;2;
88;77;2;1;
91;18;2;1;
15;82;1;2;
14;18;1;2;
78;19;1;2;
94;83;1;2;
12;13;2;1;
83;88;1;2;
85;14;1;2;
17;76;1;2;
18;11;1;2;
12;87;1;2;
98;11;2;1;
78;93;1;2;
12;17;2;1;
18;81;1;2;
14;83;2;1;
71;18;1;2;
104;80;2;1;
18;21;1;2;
81;81;2;1;
78;101;2;1;
16;81;2;1;
76;85;1;2;
84;19;2;1;
72;17;2;1;
17;89;2;1;
86;84;1;2;
80;90;2;1;
0;102;63
1;194;82
2;342;51
3;414;46
4;475;50
5;565;66
6;730;47
7;1037;45
8;1445;16
9;1605;84
10;1709;60
11;1774;25
12;1937;34
13;2028;57
14;2334;58
15;2865;39
16;2997;53
17;3097;83
18;3235;41
19;3414;24
20;3642;22
21;3729;76
22;3949;36
23;4002;15
24;4098;82
25;4372;85
26;4526;71
27;4624;34
28;4692;48
29;4754;83
30;4857;28
31;4914;70
32;5127;40
33;5221;57
34;5462;36
35;5503;30
36;5635;55
37;5800;51
38;5948;78
39;6054;81
40;6193;22
41;6421;84
42;6826;53
43;7055;65
44;7274;37
45;7603;52
46;7744;46
47;7798;54
48;7994;27
49;8157;16
50;8354;40
51;8428;74
52;8768;28
53;8832;23
54;8869;33
55;8974;59
56;9130;65
57;9312;21
58;9378;24
59;9425;70
60;9697;20
61;9743;83
62;10068;64
63;10237;46
64;10351;66
65;10443;26
66;10611;34
67;10709;39
68;10813;85
69;10953;39
70;11149;23
71;11199;22
72;11317;84
73;11519;53
74;11596;40
75;11692;15
76;11760;16
77;11823;72
78;12038;71
79;12184;58
80;12255;49
81;12322;61
82;12412;24
83;12507;70
84;12646;46
85;12758;30
86;12843;21
87;13103;44
88;13286;41
89;13368;72
90;13683;40
91;13775;74
92;13925;77
93;14073;66
94;14197;58
95;14274;85
96;14398;62
97;14492;61
98;14671;22
99;14813;41
*** EOF ***
