**** 12 ****
250
85;79;2;1;
78;79;1;2;
17;18;1;2;
82;88;2;1;
91;86;1;2;
14;22;1;2;
82;17;2;1;
16;8;2;1;
83;103;1;2;
15;75;1;2;
91;88;1;2;
78;89;2;1;
82;13;1;2;
82;17;1;2;
81;10;2;1;
81;19;1;2;
99;11;2;1;
99;13;2;1;
79;84;2;1;
13;80;2;1;
12;16;2;1;
18;76;1;2;
82;88;1;2;
14;14;2;1;
85;14;2;1;
16;13;1;2;
13;14;1;2;
84;78;1;2;
14;18;1;2;
19;14;1;2;
94;12;1;2;
86;15;2;1;
82;92;2;1;
14;14;1;2;
9;81;1;2;
82;17;2;1;
88;17;2;1;
85;16;2;1;
13;14;2;1;
12;15;2;1;
17;19;1;2;
15;15;2;1;
86;87;1;2;
85;84;1;2;
81;88;2;1;
12;83;2;1;
11;81;1;2;
13;11;1;2;
90;18;2;1;
81;9;2;1;
83;90;2;1;
84;22;1;2;
87;11;2;1;
10;68;1;2;
92;82;2;1;
16;84;2;1;
13;85;1;2;
16;86;2;1;
13;85;2;1;
18;89;1;2;
15;88;1;2;
93;15;2;1;
86;79;1;2;
86;13;2;1;
13;97;1;2;
89;14;1;2;
16;14;1;2;
108;70;2;1;
84;87;1;2;
18;84;2;1;
17;16;1;2;
15;18;1;2;
15;83;1;2;
15;17;2;1;
17;88;1;2;
10;89;2;1;
89;85;1;2;
92;15;1;2;
93;16;2;1;
17;13;2;1;
15;11;1;2;
14;78;2;1;
17;13;2;1;
23;14;2;1;
15;19;2;1;
15;82;2;1;
78;94;1;2;
12;14;2;1;
79;84;1;2;
69;15;2;1;
84;78;1;2;
90;14;1;2;
17;88;2;1;
94;81;1;2;
15;20;2;1;
15;11;2;1;
16;84;1;2;
76;87;1;2;
88;95;1;2;
13;83;1;2;
94;22;2;1;
15;82;1;2;
78;21;1;2;
16;16;1;2;
95;77;2;1;
79;92;1;2;
14;15;2;1;
79;13;1;2;
13;12;2;1;
85;15;2;1;
83;81;2;1;
